# of clients,CPU usage (%),Memory usage (bytes)
1546,0,161382400
1547,0,161652736
1548,0,161931264
1549,1.6,162201600
1550,0,163893248
1551,0,164020224
1552,0,164020224
1553,1.6,164020224
1554,0,164020224
1555,0,164020224
1556,0,164032512
1557,7.7,164491264
1558,0,164593664
1559,0,164671488
1560,0,164704256
1561,0,164802560
1562,0,164802560
1563,0,164810752
1564,0,164814848
1565,1.6,164814848
1566,0,164818944
1567,0,164818944
1568,0,164818944
1569,3.1,164986880
1570,0,164986880
1571,0,165511168
1572,0,165511168
1573,1.5,165511168
1574,0,165515264
1575,0,165519360
1576,0,165519360
1577,3,165519360
1578,0,166043648
1579,0,166055936
1580,0,166055936
1581,0,166166528
1582,0,166166528
1583,0,166174720
1584,0,166653952
1585,0,166653952
1586,3.2,166653952
1587,0,166670336
1588,0,166682624
1589,0,166694912
1590,0,166699008
